Datetime,Number,Red Dot Count,incubation hour
2024-11-27 16:43:47,1,0,0.0
2024-11-27 18:31:26,3,114,1.7941666666666667
2024-11-27 19:11:23,5,957,2.46
2024-11-27 19:51:21,7,1197,3.1261111111111113
2024-11-27 20:31:28,9,1618,3.794722222222222
2024-11-27 21:11:25,11,2730,4.460555555555556
2024-11-27 21:31:24,12,4309,4.793611111111111
2024-11-27 22:31:28,15,4212,5.794722222222222
2024-11-27 23:11:26,17,4174,6.460833333333333
2024-11-27 23:51:21,19,5027,7.126111111111111
2024-11-28 00:31:26,21,4725,7.7941666666666665
2024-11-28 01:11:28,23,6389,8.461388888888889
2024-11-28 01:51:26,25,9264,9.1275
2024-11-28 02:31:23,27,10683,9.793333333333333
2024-11-28 03:11:24,29,10499,10.460277777777778
2024-11-28 03:51:32,31,11022,11.129166666666666
2024-11-28 04:31:24,33,12565,11.793611111111112
2024-11-28 05:11:22,35,13203,12.459722222222222
2024-11-28 05:51:31,37,16190,13.12888888888889
2024-11-28 06:31:26,39,17708,13.794166666666667
2024-11-28 07:11:25,41,17850,14.460555555555555
2024-11-28 07:51:23,43,17551,15.126666666666667
2024-11-28 08:31:21,45,16748,15.792777777777777
2024-11-28 09:11:21,47,16092,16.459444444444443
2024-11-28 09:51:24,49,19152,17.126944444444444
